,0um,50um,150um,200um,250um,300um,350um,400um,450um,500um
2.85E+00,1.01E+23,8.30E+22,5.03E+22,2.26E+22,2.82E+22,1.15E+22,6.09E+21,6.09E+21,6.09E+21,1.19E+22
2.86E+00,1.14E+23,6.16E+22,6.22E+22,5.64E+22,2.85E+22,1.78E+22,1.78E+22,5.82E+21,5.82E+21,5.81E+21
2.87E+00,1.02E+23,7.84E+22,5.04E+22,4.51E+22,3.96E+22,2.83E+22,1.14E+22,1.17E+22,1.17E+22,1.17E+22
2.88E+00,1.17E+23,7.25E+22,4.90E+22,2.78E+22,2.79E+22,2.79E+22,2.23E+22,1.68E+22,1.68E+22,1.12E+22
2.89E+00,1.08E+23,1.11E+23,7.32E+22,6.83E+22,6.27E+22,5.69E+22,4.58E+22,3.40E+22,2.87E+22,2.28E+22
2.90E+00,1.05E+23,1.12E+23,7.38E+22,4.02E+22,3.39E+22,2.80E+22,3.35E+22,2.26E+22,1.67E+22,1.14E+22
2.91E+00,4.88E+22,3.83E+22,3.86E+22,3.34E+22,1.64E+22,5.36E+21,1.13E+22,5.97E+21,5.96E+21,5.96E+21
2.92E+00,8.83E+22,7.06E+22,3.80E+22,1.64E+22,1.64E+22,1.09E+22,5.38E+21,5.38E+21,0.00E+00,0.00E+00
2.93E+00,8.37E+22,7.33E+22,5.05E+22,5.01E+22,4.43E+22,3.29E+22,3.85E+22,2.74E+22,1.66E+22,1.66E+22
2.94E+00,5.36E+22,5.94E+22,4.42E+22,3.88E+22,3.32E+22,2.25E+22,2.25E+22,1.68E+22,2.23E+22,2.23E+22
2.95E+00,1.23E+23,9.98E+22,6.11E+22,7.25E+22,7.83E+22,5.64E+22,3.36E+22,2.25E+22,2.25E+22,1.73E+22
2.96E+00,6.38E+22,3.85E+22,3.87E+22,1.71E+22,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.97E+00,1.08E+23,8.26E+22,6.61E+22,2.25E+22,2.20E+22,1.11E+22,5.74E+21,0.00E+00,0.00E+00,0.00E+00
2.98E+00,1.11E+23,9.33E+22,7.75E+22,6.70E+22,6.14E+22,4.48E+22,3.35E+22,2.24E+22,1.14E+22,1.14E+22
2.99E+00,5.59E+22,4.88E+22,3.84E+22,2.76E+22,1.12E+22,1.67E+22,2.23E+22,1.66E+22,1.66E+22,1.66E+22
3.00E+00,2.34E+23,1.89E+23,1.63E+23,1.36E+23,8.72E+22,5.51E+22,4.97E+22,3.88E+22,3.32E+22,3.86E+22
3.03E+00,1.55E+23,1.11E+23,1.07E+23,9.19E+22,4.95E+22,4.39E+22,3.31E+22,2.78E+22,1.67E+22,2.20E+22
3.05E+00,2.10E+23,1.67E+23,1.02E+23,8.13E+22,6.55E+22,6.53E+22,5.99E+22,5.40E+22,4.34E+22,2.74E+22
3.08E+00,1.67E+23,1.53E+23,9.54E+22,6.94E+22,4.23E+22,3.67E+22,3.17E+22,2.63E+22,2.64E+22,2.64E+22
3.10E+00,2.22E+23,2.06E+23,1.32E+23,1.01E+23,8.54E+22,6.92E+22,4.84E+22,3.23E+22,2.67E+22,2.67E+22
3.13E+00,1.74E+23,1.25E+23,9.52E+22,4.76E+22,4.77E+22,4.19E+22,2.60E+22,1.58E+22,1.08E+22,1.08E+22
3.15E+00,1.64E+23,9.96E+22,9.47E+22,6.89E+22,5.83E+22,4.19E+22,3.14E+22,1.61E+22,1.08E+22,5.29E+21
3.17E+00,1.67E+23,1.60E+23,1.25E+23,5.22E+22,3.69E+22,3.15E+22,2.62E+22,2.58E+22,2.63E+22,2.62E+22
3.20E+00,1.72E+23,1.22E+23,1.00E+23,7.43E+22,7.71E+22,6.15E+22,5.16E+22,3.12E+22,2.58E+22,1.03E+22
3.22E+00,1.65E+23,1.06E+23,8.03E+22,6.05E+22,7.11E+22,6.58E+22,4.07E+22,3.54E+22,1.98E+22,0.00E+00
3.25E+00,1.81E+23,1.29E+23,8.60E+22,6.58E+22,4.59E+22,3.63E+22,2.09E+22,2.06E+22,2.05E+22,1.55E+22
3.28E+00,1.41E+23,1.19E+23,8.61E+22,7.11E+22,6.07E+22,3.59E+22,2.58E+22,2.11E+22,2.11E+22,2.11E+22
3.30E+00,1.51E+23,1.24E+23,7.01E+22,6.50E+22,4.46E+22,3.46E+22,2.97E+22,2.47E+22,2.47E+22,1.99E+22
3.33E+00,1.17E+23,8.26E+22,4.96E+22,3.00E+22,3.47E+22,2.50E+22,2.50E+22,1.49E+22,1.02E+22,1.02E+22
3.35E+00,1.04E+23,7.29E+22,5.86E+22,2.94E+22,1.48E+22,1.98E+22,2.44E+22,2.42E+22,1.93E+22,1.94E+22
3.38E+00,1.08E+23,6.89E+22,6.85E+22,4.47E+22,2.49E+22,2.98E+22,2.46E+22,1.99E+22,1.50E+22,1.01E+22
3.40E+00,1.41E+23,1.20E+23,7.27E+22,4.89E+22,3.88E+22,2.97E+22,2.97E+22,2.97E+22,2.49E+22,2.49E+22
3.42E+00,1.21E+23,1.16E+23,7.30E+22,6.81E+22,5.86E+22,3.88E+22,2.38E+22,2.42E+22,2.42E+22,1.48E+22
3.45E+00,1.23E+23,1.00E+23,4.88E+22,5.39E+22,4.91E+22,2.51E+22,2.51E+22,2.01E+22,1.01E+22,5.04E+21
3.47E+00,1.36E+23,1.00E+23,4.32E+22,2.88E+22,2.88E+22,9.46E+21,1.40E+22,1.40E+22,9.48E+21,4.97E+21
3.50E+00,1.14E+23,9.44E+22,7.07E+22,6.15E+22,4.26E+22,3.37E+22,1.94E+22,1.94E+22,1.45E+22,1.45E+22
3.53E+00,1.05E+23,6.06E+22,6.58E+22,7.10E+22,6.16E+22,5.68E+22,4.74E+22,4.29E+22,2.83E+22,1.41E+22
3.55E+00,1.32E+23,1.15E+23,5.49E+22,4.16E+22,4.18E+22,3.25E+22,3.25E+22,2.31E+22,1.87E+22,1.40E+22
